D 3117
C 11
S 5871,3997 848,864 961,991 2
S 536,582 766,796 935,963 5
S 3201,571 619,641 896,940 1
S 4310,3616 861,883 1060,1092 4
S 4302,552 850,892 893,911 4
S 533,3611 777,793 987,1017 5
S 3232,556 635,649 937,969 4
S 4321,510 858,900 901,918 1
S 4327,4321 846,884 885,901 4
S 5869,4305 813,835 836,857 1
S 5741,3616 969,1011 1066,1084 1
S 5868,3573 838,876 1039,1083 4
S 4316,3598 869,901 1022,1066 4
S 514,4317 761,797 798,810 1
S 4321,507 862,900 901,906 1
S 569,3658 937,971 987,1007 4
S 3287,696 643,661 791,835 2
S 3602,3619 1031,1055 1056,1096 2
S 2928,551 546,572 765,789 5
S 4317,3600 844,888 1002,1030 4
