D 4085
C 8
S 4080,4716 542,584 863,893 2
S 4081,4059 550,566 696,740 1
S 4173,4717 767,783 846,866 2
S 4713,4770 883,909 1066,1090 1
S 4069,4771 633,653 1063,1079 3
S 4025,4720 745,779 809,829 5
S 4057,4710 725,763 909,929 3
S 4721,4773 804,820 1043,1083 3
S 4075,4715 585,615 876,896 1
S 4062,4170 688,720 765,809 2
S 4083,4060 540,564 694,736 1
S 4055,4766 736,768 1098,1120 3
S 4063,4723 674,710 792,810 1
S 4071,4725 629,645 777,813 1
S 4174,4702 751,781 965,1001 1
S 4070,4767 619,661 1080,1110 2
S 4068,4780 631,667 1011,1043 4
S 4056,4719 739,757 808,838 4
S 4706,4700 958,984 990,1026 1
S 4701,4777 975,1001 1029,1065 2
