D 4119
C 9
S 4135,4250 660,694 744,780 3
S 4245,4497 773,815 986,1022 5
S 4244,4498 782,816 991,1005 4
S 4123,4232 554,588 687,721 1
S 4526,4516 1035,1073 1089,1117 3
S 4290,4496 877,895 1001,1023 1
S 4122,4239 556,574 828,860 3
S 4241,4235 821,837 850,886 2
S 4503,4495 942,956 1012,1032 2
S 4520,4517 1067,1091 1092,1110 5
S 4285,4518 903,933 1079,1095 4
S 4131,4506 628,656 1019,1063 5
S 4500,4494 967,989 1027,1053 1
S 4134,4234 652,692 693,699 1
S 4242,4525 802,818 1047,1063 4
S 4502,4522 942,986 1058,1086 1
S 4129,4286 617,635 884,926 4
S 4225,4284 721,765 908,930 1
S 4243,4288 785,817 881,909 3
S 4124,4519 573,593 1069,1097 1
