D 12469
C 11
S 13666,13668 1051,1077 1078,1103 5
S 12495,13659 699,721 1002,1046 1
S 12503,13671 784,814 1091,1123 2
S 13650,13662 937,971 1025,1065 5
S 12480,13645 590,624 894,916 5
S 12471,13651 548,582 938,978 1
S 12481,12488 595,627 657,673 4
S 12498,13653 734,750 952,974 3
S 12485,12490 619,663 664,686 5
S 13658,13670 985,1025 1090,1106 5
S 13664,13667 1031,1071 1075,1089 3
S 12473,12483 555,593 622,636 1
S 12492,12502 657,701 780,798 4
S 12506,13647 822,836 904,948 3
S 12509,13648 845,877 933,951 4
S 12476,12496 578,602 711,745 5
S 12479,12505 587,623 815,831 5
S 12511,12512 856,890 891,904 5
S 12507,12510 824,854 855,882 2
S 12513,13649 888,920 933,963 2
