D 6450
C 9
S 6435,7262 622,644 1090,1124 3
S 7135,7279 817,845 936,970 3
S 7274,7272 969,1003 1004,1021 4
S 6445,7276 569,585 961,987 2
S 6444,7267 567,597 1030,1064 2
S 7125,7128 715,745 746,762 1
S 7284,7273 855,877 978,1020 3
S 7280,7277 922,966 967,985 2
S 7271,7269 998,1018 1019,1035 3
S 7134,7282 802,840 897,937 1
S 6436,7283 613,635 904,922 3
S 6434,7268 619,663 1026,1048 5
S 6441,7126 592,620 721,751 2
S 7119,7131 672,690 762,794 1
S 6449,7127 540,564 726,754 4
S 7136,7285 826,846 847,863 5
S 7137,7281 831,857 912,944 1
S 6427,7130 639,679 755,777 5
S 7275,7270 961,999 1000,1020 3
S 7132,7266 786,816 1034,1074 3
