D 14220
C 11
S 14227,14244 576,592 679,717 3
S 14226,14308 556,594 720,740 5
S 14221,14430 540,570 812,850 4
S 14234,14241 617,653 668,682 5
S 14439,14814 774,792 917,933 3
S 14817,14848 865,905 1002,1044 1
S 14853,14856 1050,1068 1072,1090 5
S 14233,14434 608,626 780,822 2
S 14232,14440 595,625 765,789 3
S 14242,14844 683,699 967,1001 4
S 14230,14236 579,617 633,665 4
S 14238,14432 653,669 802,828 4
S 14815,14846 902,924 990,1032 3
S 14431,14851 807,841 1020,1054 4
S 14240,14311 648,692 745,759 2
S 14223,14849 540,582 1006,1046 4
S 14237,14819 647,665 854,892 1
S 14436,14847 782,810 1006,1024 1
S 14855,14857 1062,1082 1083,1109 3
S 14850,14852 1022,1038 1039,1057 2
