D 16392
C 12
S 16668,16665 669,683 696,720 5
S 16564,16321 947,977 997,1031 1
S 16379,16319 572,614 985,1019 1
S 16562,16320 963,1005 1006,1013 5
S 16384,16561 556,582 980,1010 1
S 16580,16571 831,869 916,942 5
S 16389,16376 540,565 578,622 2
S 16385,16583 546,582 779,809 5
S 16573,16323 897,941 1016,1036 5
S 16673,16324 607,645 1018,1042 3
S 16666,16322 675,715 1010,1032 5
S 16579,16569 844,888 928,942 1
S 16390,16672 540,565 622,636 3
S 16587,16576 791,835 882,906 4
S 16670,16667 645,685 686,714 3
S 16676,16585 759,785 790,822 2
S 16680,16674 707,747 748,752 1
S 16387,16380 545,575 577,605 4
S 16669,16578 657,677 861,899 3
S 16567,16326 929,953 1085,1107 5
