D 13715
C 11
S 13707,15014 598,632 1044,1066 3
S 14326,15003 819,835 921,935 4
S 15011,15015 1015,1037 1066,1098 3
S 14283,15009 748,766 992,1026 4
S 14325,14327 787,831 832,857 4
S 15005,15012 934,976 1020,1052 2
S 13712,15018 552,570 1086,1124 1
S 13713,13705 542,568 621,665 5
S 14282,14285 732,772 782,804 3
S 15004,15013 935,953 1028,1064 4
S 15001,15007 856,896 946,982 5
S 14277,14279 700,724 725,746 4
S 13702,14286 659,697 777,813 1
S 13703,14275 657,681 682,707 4
S 13711,15010 559,575 999,1041 5
S 14281,15019 736,758 1086,1128 5
S 13706,14322 619,635 844,866 2
S 13710,14276 559,599 681,725 5
S 14398,15006 851,893 941,975 3
S 13714,15002 540,565 901,941 1
