D 9516
C 10
S 10079,11295 899,939 1077,1109 2
S 10082,10164 918,956 957,998 5
S 9542,10162 775,795 981,1019 1
S 10159,10154 1020,1062 1063,1095 4
S 9514,9511 558,586 587,609 2
S 10156,11296 1052,1088 1089,1120 4
S 9549,9554 740,758 775,803 4
S 9515,9501 541,573 675,719 1
S 9507,10078 620,646 901,933 2
S 9500,10165 684,726 966,982 4
S 10166,10163 950,974 975,1016 4
S 9543,10155 762,802 1051,1093 2
S 9550,10158 752,776 1025,1069 2
S 9506,9544 627,649 767,807 2
S 9505,10081 636,652 923,939 4
S 10072,10161 928,956 1002,1024 4
S 9512,9509 568,608 610,626 2
S 9510,9548 582,624 758,782 2
S 9508,9503 616,630 658,698 4
S 10083,10160 920,962 1014,1034 2
