D 19202
C 12
S 18843,18840 976,996 1078,1096 5
S 18998,18846 854,898 924,958 5
S 19208,18991 589,605 804,836 1
S 18996,19000 840,882 883,915 4
S 19221,19001 701,731 878,922 2
S 19212,18997 613,647 856,876 2
S 19220,18995 676,720 824,868 3
S 18986,18847 739,763 914,956 3
S 19216,18989 632,666 794,830 4
S 19205,18844 567,605 950,970 5
S 18842,18841 1010,1048 1055,1083 5
S 19204,18984 571,591 713,745 4
S 19002,19003 900,932 933,943 2
S 18999,18845 864,900 941,963 3
S 19219,19004 664,700 708,736 3
S 19217,18987 645,679 758,772 3
S 19207,19215 570,614 630,658 2
S 19211,19213 602,626 627,653 3
S 18988,18994 780,816 825,853 5
S 19206,19210 569,611 612,629 1
