D 20305
C 12
S 20909,20896 842,856 945,975 5
S 20414,20454 581,619 794,808 1
S 20904,20944 861,883 1076,1118 4
S 20426,20433 678,698 723,745 5
S 20446,20568 770,790 810,840 1
S 20894,20920 965,985 1100,1116 2
S 20310,20901 553,581 881,907 4
S 20306,20908 540,553 842,866 2
S 20897,20913 930,958 1083,1117 5
S 20898,20943 925,943 1078,1098 1
S 20436,20895 734,748 958,990 5
S 20903,20937 860,904 993,1029 5
S 20313,20939 561,593 1026,1054 4
S 20910,20907 818,856 857,880 2
S 20902,20941 867,907 1045,1083 1
S 20309,20938 547,581 1011,1029 2
S 20438,20442 739,773 774,780 4
S 20435,20451 730,746 779,805 2
S 20422,20940 643,673 1041,1055 2
S 20900,20919 885,911 1094,1116 3
