D 20575
C 9
S 20251,20039 650,694 943,961 2
S 20206,20001 783,805 975,1009 3
S 20130,20415 1077,1111 1112,1118 4
S 20202,20124 808,826 828,846 3
S 20576,20012 540,564 1032,1058 3
S 20211,20050 756,792 892,914 3
S 20053,20035 870,914 957,987 5
S 20062,20128 848,888 1062,1102 3
S 20000,20005 974,1008 1009,1023 3
S 20063,20011 843,881 1022,1060 4
S 20205,19999 793,811 970,1010 2
S 20245,20121 702,726 818,858 5
S 20243,20096 707,737 828,870 2
S 20325,20123 570,606 828,866 5
S 20348,20043 568,594 933,947 1
S 20231,20052 735,751 874,914 5
S 20242,20064 707,747 848,870 5
S 20577,20225 540,568 737,775 5
S 20509,20226 550,576 742,764 1
S 20249,20057 671,711 861,895 5
