D 8632
C 10
S 8389,9077 768,796 967,993 3
S 8397,9083 699,735 994,1012 4
S 8398,9073 699,729 946,972 5
S 8386,8366 786,824 835,871 1
S 8388,9085 770,806 999,1027 5
S 9183,9185 1051,1075 1076,1118 4
S 8619,8684 596,616 923,941 2
S 8626,8613 567,591 651,665 2
S 8624,8690 569,603 870,914 4
S 8392,9079 730,766 969,1005 1
S 8401,8379 683,705 823,853 5
S 8689,9186 890,906 1092,1116 4
S 9074,9078 962,976 977,1000 5
S 9087,9184 1008,1036 1060,1094 5
S 8692,8682 856,890 920,964 1
S 8622,8377 582,604 840,858 2
S 8390,9084 766,782 988,1022 2
S 8614,8394 626,666 726,744 4
S 9072,9088 930,970 1006,1042 2
S 8400,8381 687,715 806,846 2
