D 14991
C 11
S 15213,13325 579,609 1026,1060 4
S 14250,14253 837,863 864,890 1
S 14255,13227 871,893 1054,1090 3
S 15112,14257 833,851 881,911 2
S 15109,15114 812,840 841,857 3
S 14260,13210 940,970 1080,1116 4
S 15100,14254 638,674 858,898 1
S 15111,14252 816,850 851,879 5
S 15209,15113 596,638 825,861 3
S 13323,13231 1037,1075 1079,1103 5
S 15102,15103 740,768 769,791 2
S 14261,14263 952,972 973,1013 1
S 14986,15104 560,588 770,804 3
S 15108,13326 810,832 1033,1049 2
S 15210,15110 587,631 814,844 4
S 15106,14251 786,824 847,865 1
S 14988,14262 544,580 945,983 1
S 15105,13324 776,820 1042,1062 2
S 14989,15107 540,561 801,823 1
S 14258,13374 899,927 1089,1119 5
