D 1293
C 8
S 949,951 1031,1057 1058,1083 2
S 1283,758 700,736 955,999 5
S 1280,1065 679,695 826,846 5
S 759,752 950,984 997,1039 5
S 1071,953 886,900 1082,1100 2
S 1279,950 673,689 1045,1069 3
S 1300,1052 598,628 750,786 3
S 1277,1070 656,684 873,897 1
S 1069,666 864,898 1018,1038 2
S 1079,954 938,956 1083,1105 3
S 1061,1067 802,842 844,874 3
S 1066,754 829,857 986,1016 5
S 1073,956 903,921 1096,1122 2
S 1296,761 559,597 933,973 1
S 1045,1076 726,752 924,942 2
S 1275,1075 637,667 907,943 3
S 1281,1077 695,721 915,957 4
S 1049,753 739,773 982,1022 4
S 757,955 973,989 1082,1116 5
S 1044,1060 721,749 795,825 5
